model_name,protein_size,qmean4_zscore,qmean4_norm,qmeandisco
6C6M_A.pdb,95,-1.03,0.74,0.83
7OWC_B.pdb,95,-0.12,0.79,0.87
2QJW_A.pdb,173,1.09,0.83,0.87
2CXX_A.pdb,181,2.15,0.87,0.86
5AJJ_A.pdb,138,-0.54,0.75,0.72
3E8P_A.pdb,149,-0.68,0.75,0.87
7PZT_A.pdb,160,0.54,0.81,0.95
3KE7_A.pdb,127,-0.37,0.76,0.8
2IG3_A.pdb,127,0.75,0.82,0.88
3EGN_A.pdb,120,-0.97,0.73,0.83
3BGU_A.pdb,104,-1.41,0.72,0.83
4MTM_A.pdb,137,-0.52,0.75,0.65
3FNI_A.pdb,153,-0.2,0.77,0.76
1KQ6_A.pdb,136,0.09,0.79,0.82
5V01_A.pdb,168,0.29,0.79,0.91
4BYZ_A.pdb,194,0.56,0.8,0.92
7W50_B.pdb,154,0.78,0.82,0.92
2P0B_A.pdb,142,-1.28,0.72,0.91
4CCV_A.pdb,115,0.07,0.79,0.86
1O4T_A.pdb,115,1.43,0.86,0.91
8AE4_B.pdb,151,0.33,0.8,0.88
5KVB_A.pdb,146,-0.45,0.76,0.9
3E7L_A.pdb,60,0.14,0.8,0.8
4BL0_E.pdb,45,0.29,0.81,0.83
6S8S_B.pdb,37,-0.55,0.7,0.65
7MIA_A.pdb,146,-0.0,0.78,0.84
8G8K_A.pdb,162,-0.41,0.76,0.91
2BKM_A.pdb,128,1.64,0.87,0.89
8BTX_A.pdb,158,-0.05,0.78,0.89
4MQ3_A.pdb,129,1.2,0.85,0.89
3NEU_A.pdb,115,1.11,0.85,0.81
3B0F_A.pdb,43,0.33,0.81,0.75
