model_name,protein_size,qmean4_zscore,qmean4_norm,qmeandisco
6D71_A.pdb,172,0.72,0.81,0.9
3NOH_A.pdb,120,0.9,0.83,0.88
2CS7_A.pdb,55,1.07,0.88,0.88
3R90_A.pdb,185,0.26,0.79,0.87
3NPH_B.pdb,131,-1.24,0.72,0.84
3POJ_A.pdb,113,1.69,0.88,0.86
7ZVO_A.pdb,131,0.74,0.82,0.88
3FXH_A.pdb,110,-0.78,0.75,0.9
4IKB_A.pdb,127,-0.29,0.77,0.81
6WK3_A.pdb,145,0.96,0.83,0.9
6TYY_A.pdb,145,0.14,0.79,0.9
7TXN_A.pdb,104,-0.69,0.75,0.87
2YNQ_A.pdb,149,0.43,0.8,0.82
5KSO_A.pdb,166,0.33,0.8,0.89
2OU5_A.pdb,173,0.94,0.82,0.9
4NPD_A.pdb,58,0.62,0.85,0.76
2OO2_A.pdb,76,0.84,0.85,0.85
4DJB_A.pdb,114,-0.02,0.79,0.81
2VQE_T.pdb,99,-1.67,0.7,0.75
4YX7_A.pdb,65,-1.89,0.67,0.65
