model_name,protein_size,qmean4_zscore,qmean4_norm,qmeandisco
7KB2_A.pdb,173,0.97,0.82,0.8
3MI9_C.pdb,49,-0.76,0.69,0.45
3MAZ_A.pdb,99,1.51,0.88,0.92
7XPW_A.pdb,127,-0.03,0.78,0.88
7KMU_A.pdb,140,1.99,0.88,0.88
5U9Y_A.pdb,25,-1.25,0.61,0.63
4AEQ_A.pdb,90,0.25,0.81,0.87
5AL6_A.pdb,44,1.3,0.94,0.79
8B10_A.pdb,69,0.06,0.8,0.82
5G4D_A.pdb,79,-0.34,0.77,0.83
4H6C_A.pdb,180,1.49,0.84,0.87
5BY4_A.pdb,105,-0.06,0.79,0.92
2BTI_A.pdb,57,0.37,0.82,0.66
7ZV1_A.pdb,109,-0.82,0.75,0.9
5SUZ_A.pdb,92,-1.49,0.71,0.69
1RWJ_A.pdb,81,-0.93,0.73,0.68
5HRB_A.pdb,176,0.74,0.81,0.82
1LA4_A.pdb,34,-2.83,0.43,0.57
2A38_A.pdb,194,0.61,0.8,0.87
5YLB_A.pdb,187,0.49,0.8,0.93
2WTG_A.pdb,158,-0.27,0.77,0.9
5A9D_A.pdb,189,-0.36,0.77,0.81
3F43_A.pdb,114,0.57,0.82,0.78
5M4V_A.pdb,57,0.41,0.83,0.94
3K67_A.pdb,156,1.33,0.85,0.89
8P0Z_A.pdb,157,0.39,0.8,0.84
4YNH_A.pdb,58,0.52,0.84,0.86
4XUO_A.pdb,156,-0.28,0.77,0.92
3OP8_A.pdb,85,0.04,0.8,0.83
3HX8_A.pdb,124,-0.21,0.77,0.77
3Q87_B.pdb,164,0.16,0.79,0.92
1ELK_A.pdb,153,0.68,0.81,0.89
5X57_A.pdb,81,-0.34,0.77,0.89
4QM6_A.pdb,171,1.43,0.84,0.9
1P57_A.pdb,110,-1.01,0.74,0.85
4DKC_A.pdb,161,-0.22,0.77,0.89
8YE5_A.pdb,125,-0.26,0.77,0.86
2RHM_B.pdb,181,1.31,0.84,0.78
3DML_A.pdb,92,0.08,0.8,0.79
3NWC_A.pdb,179,0.51,0.8,0.8
2WFB_A.pdb,120,0.7,0.82,0.9
3RET_A.pdb,97,1.25,0.86,0.83
8AXJ_A.pdb,161,-1.36,0.72,0.89
2D59_A.pdb,141,1.07,0.84,0.87
2YJK_A.pdb,149,0.16,0.79,0.92
3PH1_A.pdb,180,-2.71,0.67,0.77
3ROB_A.pdb,127,-0.24,0.77,0.85
3EY5_A.pdb,172,1.02,0.83,0.82
4OOG_A.pdb,109,-1.47,0.71,0.65
2LQA_A.pdb,36,-0.15,0.74,0.74
1RFY_A.pdb,89,0.55,0.83,0.84
6H49_A.pdb,147,-0.37,0.76,0.89
5YH4_A.pdb,179,1.0,0.82,0.95
