model_name,protein_size,qmean4_zscore,qmean4_norm,qmeandisco
6H9L_A.pdb,125,4.03,1.0,0.79
1BND_A.pdb,109,-0.35,0.77,0.91
6TCB_A.pdb,94,0.7,0.83,0.92
5HT7_A.pdb,82,0.16,0.81,0.97
5XLN_B.pdb,26,-1.33,0.6,0.54
4UC1_A.pdb,157,-1.78,0.69,0.83
3FD4_A.pdb,140,-0.31,0.76,0.85
3BYQ_A.pdb,183,0.2,0.79,0.85
3FAV_B.pdb,72,-0.36,0.77,0.82
8WXM_A.pdb,154,0.91,0.82,0.86
3N1E_A.pdb,140,0.12,0.79,0.86
7S5H_A.pdb,92,0.32,0.81,0.78
8FJF_A.pdb,127,3.17,0.95,0.86
2QZG_A.pdb,86,-0.89,0.74,0.86
1TUV_A.pdb,103,-0.66,0.76,0.91
7NG2_A.pdb,157,0.07,0.78,0.94
4F7H_A.pdb,135,-0.55,0.75,0.77
3SO5_A.pdb,95,-2.04,0.68,0.75
6RGN_A.pdb,93,-0.31,0.77,0.91
1EAJ_A.pdb,124,0.79,0.83,0.84
4MYM_A.pdb,148,0.65,0.81,0.81
7T5U_A.pdb,66,0.28,0.82,0.83
1W4V_A.pdb,110,0.78,0.83,0.85
2HA8_A.pdb,159,-0.77,0.74,0.93
5U78_B.pdb,122,0.24,0.8,0.87
8GAL_A.pdb,128,0.53,0.81,0.75
6TZC_B.pdb,144,-0.82,0.74,0.92
6DT3_A.pdb,140,1.24,0.85,0.82
5BUW_A.pdb,144,-0.2,0.77,0.88
5OYL_D.pdb,46,0.18,0.8,0.61
6GDX_A.pdb,107,0.37,0.81,0.91
7EPJ_A.pdb,101,-0.44,0.77,0.86
3FGH_A.pdb,67,0.49,0.83,0.75
6ON6_A.pdb,108,-0.44,0.77,0.87
4BU0_A.pdb,182,0.93,0.82,0.89
5TK8_A.pdb,191,-1.36,0.73,0.89
1QBF_A.pdb,36,-6.17,0.033,0.43
2PT5_A.pdb,163,0.51,0.8,0.85
6V0M_A.pdb,71,0.15,0.81,0.85
7RJF_A.pdb,47,0.89,0.88,0.87
5X2E_A.pdb,80,0.9,0.85,0.85
8RXA_B.pdb,92,0.1,0.8,0.87
