model_name,protein_size,qmean4_zscore,qmean4_norm,qmeandisco
3E3V_A.pdb,154,0.51,0.81,0.88
6GQ2_A.pdb,22,0.12,0.78,0.63
3Q2B_A.pdb,120,0.4,0.81,0.89
3DDT_A.pdb,48,-0.18,0.76,0.8
8I3X_A.pdb,60,-2.39,0.61,0.89
5VKY_A.pdb,122,-0.71,0.75,0.9
1U6M_A.pdb,189,-0.68,0.75,0.9
1OUW_C.pdb,151,1.26,0.84,0.94
6GQ5_A.pdb,22,0.93,0.87,0.84
3FHV_A.pdb,150,-0.96,0.73,0.82
2KGH_A.pdb,39,-3.11,0.39,0.6
3MUD_A.pdb,173,0.6,0.81,0.79
6LNM_B.pdb,42,0.11,0.78,0.76
1NKI_A.pdb,134,0.72,0.82,0.92
2F22_A.pdb,137,-0.3,0.77,0.8
6UUF_A.pdb,161,-0.43,0.76,0.91
3F7C_A.pdb,192,-0.39,0.76,0.83
4I1S_B.pdb,52,-0.51,0.72,0.87
3HSA_A.pdb,110,-1.61,0.7,0.73
1JDM_A.pdb,31,-5.15,0.15,0.33
2FTR_A.pdb,93,-1.24,0.72,0.85
3H4N_A.pdb,68,0.62,0.84,0.92
4BSP_A.pdb,88,0.44,0.82,0.74
1OFU_X.pdb,119,0.04,0.79,0.89
6U6U_R.pdb,197,0.99,0.82,0.91
3W57_A.pdb,111,-0.51,0.76,0.85
6OHK_A.pdb,170,-0.09,0.78,0.93
2V1Q_A.pdb,60,0.07,0.8,0.85
2F06_A.pdb,141,-0.53,0.75,0.86
1VL7_A.pdb,135,-0.39,0.76,0.91
6SQ2_D.pdb,31,1.27,0.91,0.88
1GU9_A.pdb,170,-0.55,0.76,0.88
6VVF_A.pdb,165,-0.14,0.77,0.94
6AE8_C.pdb,12,-1.77,0.55,0.46
6TGK_C.pdb,105,0.69,0.83,0.78
2P57_A.pdb,124,-0.4,0.76,0.9
7AED_A.pdb,128,0.22,0.79,0.92
2VKJ_A.pdb,106,0.37,0.81,0.82
3ZIG_A.pdb,81,1.48,0.89,0.93
3OXP_A.pdb,146,1.39,0.85,0.89
4Q94_A.pdb,129,-0.13,0.78,0.86
2G7S_A.pdb,187,-0.68,0.75,0.86
1S4K_A.pdb,115,0.14,0.79,0.92
4Z04_A.pdb,124,0.59,0.81,0.94
3LOF_A.pdb,83,-0.23,0.78,0.81
2PND_A.pdb,119,0.68,0.82,0.85
4IM9_A.pdb,130,1.37,0.86,0.84
1SG1_X.pdb,160,-2.08,0.68,0.89
1VR4_A.pdb,103,-0.45,0.77,0.71
6V2S_A.pdb,60,0.39,0.82,0.79
2DJ6_B.pdb,115,0.29,0.8,0.86
7DMS_A.pdb,90,0.61,0.83,0.89
6ZMU_A.pdb,107,0.8,0.83,0.85
2Q6Q_A.pdb,62,2.33,0.96,0.79
1EGW_A.pdb,71,-0.93,0.74,0.65
4RKF_A.pdb,171,0.23,0.79,0.87
1JIW_I.pdb,105,-0.01,0.79,0.76
2QYC_A.pdb,95,-1.93,0.69,0.77
3DCM_X.pdb,188,-0.51,0.76,0.91
7QOD_A.pdb,192,0.42,0.8,0.91
8J9R_A.pdb,72,-2.08,0.66,0.9
4BWC_A.pdb,170,0.28,0.79,0.92
3WVT_A.pdb,102,0.41,0.81,0.82
5GT1_A.pdb,153,0.73,0.82,0.97
6XZU_B.pdb,148,0.53,0.81,0.82
3IA8_A.pdb,156,-0.02,0.78,0.85
1M5T_A.pdb,123,0.44,0.81,0.88
6AEP_A.pdb,79,0.02,0.8,0.87
4V0K_B.pdb,164,0.04,0.78,0.82
6L7R_B.pdb,79,1.76,0.91,0.86
4UXM_A.pdb,131,-0.63,0.75,0.91
3JS5_A.pdb,156,0.37,0.8,0.9
1SQU_A.pdb,152,-0.45,0.76,0.85
2ZVY_A.pdb,183,0.17,0.79,0.85
2J8B_A.pdb,78,-0.72,0.74,0.85
2XZ2_A.pdb,66,-0.22,0.78,0.76
3G48_A.pdb,110,0.02,0.79,0.77
6H9D_A.pdb,148,-0.35,0.76,0.9
2QSB_A.pdb,82,-0.14,0.79,0.83
1XW3_A.pdb,110,1.07,0.84,0.84
3IPJ_A.pdb,95,0.14,0.8,0.85
3MW6_A.pdb,120,0.5,0.81,0.89
3MFN_A.pdb,123,-0.13,0.78,0.89
1JGS_A.pdb,138,-2.0,0.68,0.82
5UC6_A.pdb,151,-1.21,0.72,0.8
6MOS_A.pdb,89,0.17,0.8,0.88
2IF6_A.pdb,182,0.85,0.82,0.93
1YF9_A.pdb,158,1.15,0.84,0.95
6XFU_A.pdb,70,-0.19,0.78,0.85
3CK2_A.pdb,171,0.42,0.8,0.88
1J3E_A.pdb,115,-1.48,0.71,0.89
2OVS_A.pdb,115,-1.16,0.72,0.76
1C49_A.pdb,35,-0.09,0.75,0.79
6SVK_A.pdb,135,-0.91,0.73,0.89
4EQA_C.pdb,150,1.22,0.84,0.88
3GM5_A.pdb,151,0.86,0.82,0.93
4FYY_B.pdb,147,-0.81,0.74,0.83
2PIM_A.pdb,127,-1.08,0.73,0.8
8AIF_A.pdb,118,0.51,0.81,0.85
2IG6_A.pdb,139,0.1,0.79,0.84
6I28_A.pdb,161,0.74,0.81,0.95
5DMA_A.pdb,53,-0.06,0.78,0.87
1QAU_A.pdb,112,1.3,0.86,0.87
5OEC_A.pdb,187,-1.23,0.73,0.84
1MWW_A.pdb,120,-0.5,0.76,0.91
2NNR_A.pdb,110,0.58,0.82,0.81
1V7R_A.pdb,186,0.21,0.79,0.93
3HCT_A.pdb,104,-0.98,0.74,0.85
3K7P_A.pdb,153,0.6,0.81,0.89
4ZMK_A.pdb,71,-0.83,0.74,0.89
3FH3_A.pdb,138,0.66,0.82,0.83
4LMY_A.pdb,149,0.76,0.82,0.87
2RC3_A.pdb,127,0.34,0.8,0.89
3Q69_A.pdb,103,-0.62,0.76,0.81
4XXL_A.pdb,92,0.84,0.84,0.84
1Q7H_A.pdb,144,0.19,0.79,0.84
4CFQ_Q.pdb,27,-1.41,0.59,0.72
8OIK_A.pdb,165,-0.42,0.76,0.89
6IZH_A.pdb,138,-0.25,0.77,0.88
6V1C_A.pdb,50,0.68,0.86,0.64
5Y4M_A.pdb,150,0.47,0.8,0.94
6FF1_A.pdb,69,1.21,0.87,0.84
4QHJ_A.pdb,108,0.65,0.82,0.78
3QDP_A.pdb,85,0.76,0.84,0.82
6J0Y_C.pdb,58,-1.06,0.7,0.84
1SEI_A.pdb,130,0.51,0.81,0.78
4QJF_A.pdb,186,-0.29,0.77,0.88
