model_name,protein_size,qmean4_zscore,qmean4_norm,qmeandisco
4Z8T_B.pdb,95,0.54,0.82,0.85
2NR7_A.pdb,193,-0.41,0.76,0.89
1RY9_A.pdb,133,-0.43,0.76,0.86
5V2O_A.pdb,60,-0.27,0.77,0.7
4U9B_A.pdb,180,0.34,0.8,0.84
2XQQ_A.pdb,87,0.19,0.81,0.84
5WFY_A.pdb,127,0.3,0.8,0.87
2VIM_A.pdb,104,1.37,0.86,0.86
3DA5_A.pdb,121,0.23,0.8,0.89
8SIU_B.pdb,18,-2.15,0.51,0.31
1SS4_A.pdb,143,-0.44,0.76,0.86
5WEC_A.pdb,112,-0.36,0.77,0.87
8DTQ_A.pdb,83,-0.05,0.79,0.81
6VD9_A.pdb,73,1.06,0.87,0.86
4GR6_A.pdb,104,-0.23,0.78,0.9
3BA3_A.pdb,141,1.07,0.84,0.88
5YAA_A.pdb,148,0.32,0.8,0.89
2F1S_A.pdb,177,0.29,0.79,0.87
7SCS_A.pdb,87,0.63,0.83,0.87
4RPT_A.pdb,144,-0.34,0.76,0.82
2FL4_A.pdb,147,0.17,0.79,0.87
1OCY_A.pdb,198,-0.71,0.75,0.72
3HUG_B.pdb,62,-1.88,0.66,0.89
7EG5_A.pdb,125,-0.35,0.77,0.92
1UIX_A.pdb,68,1.74,0.92,0.87
1J5U_A.pdb,125,-0.22,0.77,0.85
5EIQ_A.pdb,188,0.66,0.81,0.89
3OGN_A.pdb,124,0.52,0.81,0.87
1J24_A.pdb,133,1.75,0.88,0.87
2WKK_A.pdb,150,0.32,0.8,0.95
3SOJ_A.pdb,114,0.91,0.84,0.82
6NWX_A.pdb,189,0.66,0.81,0.93
2OX6_A.pdb,162,0.74,0.81,0.87
