model_name,protein_size,qmean4_zscore,qmean4_norm,qmeandisco
6EHI_A.pdb,159,0.23,0.79,0.93
3OV8_A.pdb,91,0.9,0.85,0.85
1VM5_A.pdb,13,0.76,0.85,0.65
5WXM_A.pdb,130,0.71,0.82,0.79
2JDA_A.pdb,139,0.78,0.82,0.87
4AIV_A.pdb,113,0.13,0.79,0.95
1DK8_A.pdb,147,-0.14,0.77,0.86
6MPZ_A.pdb,142,0.97,0.83,0.92
6P8O_B.pdb,130,0.97,0.83,0.85
6XPJ_A.pdb,109,0.73,0.83,0.9
7XT1_A.pdb,136,0.6,0.81,0.85
2X9A_A.pdb,61,-0.82,0.73,0.9
1H1O_A.pdb,172,-1.17,0.73,0.89
7O6U_A.pdb,69,-0.78,0.74,0.61
4ZKA_A.pdb,83,0.95,0.85,0.83
3MSW_A.pdb,135,-0.42,0.76,0.84
6P29_A.pdb,134,-0.62,0.75,0.94
4Y99_B.pdb,74,2.23,0.94,0.77
5I41_B.pdb,67,1.21,0.88,0.8
4UNU_A.pdb,109,1.03,0.84,0.86
5E1Z_B.pdb,169,-0.19,0.77,0.86
3PG0_A.pdb,140,0.73,0.82,0.93
3PNX_A.pdb,150,-0.72,0.75,0.82
1VMG_A.pdb,80,0.45,0.83,0.83
5YWR_B.pdb,87,-2.33,0.65,0.89
3T7Y_A.pdb,94,0.69,0.83,0.85
1TIG_A.pdb,88,0.25,0.81,0.9
2HSB_A.pdb,122,-0.19,0.77,0.88
5U9S_A.pdb,25,-0.66,0.68,0.51
2BT9_A.pdb,90,0.79,0.84,0.88
1RKK_A.pdb,18,-2.85,0.43,0.46
4V0S_B.pdb,143,0.29,0.8,0.86
4WFW_A.pdb,84,1.02,0.86,0.91
4KE2_A.pdb,196,0.76,0.81,0.86
6KWZ_A.pdb,98,0.3,0.81,0.89
3NGP_A.pdb,57,0.36,0.82,0.79
3KNV_A.pdb,123,-0.73,0.75,0.9
3MKQ_B.pdb,177,-0.47,0.76,0.87
5J6V_A.pdb,19,-2.25,0.5,0.52
2IH3_C.pdb,97,-1.83,0.69,0.87
7YPL_A.pdb,100,0.93,0.84,0.88
7NUV_A.pdb,76,0.8,0.85,0.73
4TSD_A.pdb,179,-1.31,0.73,0.87
3CCD_A.pdb,85,0.79,0.84,0.8
3MCW_A.pdb,192,0.62,0.81,0.9
3EAZ_A.pdb,102,0.31,0.81,0.79
5L87_A.pdb,62,1.04,0.87,0.88
2P1A_A.pdb,137,-1.04,0.73,0.85
5SVY_A.pdb,50,0.12,0.8,0.84
7BRI_L.pdb,29,-1.24,0.61,0.6
1CFZ_A.pdb,162,-0.77,0.74,0.84
5M0W_A.pdb,62,-1.04,0.72,0.9
3L32_A.pdb,44,0.07,0.79,0.73
2K38_A.pdb,35,-2.96,0.41,0.26
5JW8_A.pdb,133,-0.82,0.74,0.8
3R87_A.pdb,132,-0.05,0.78,0.89
6KV2_B.pdb,187,-1.24,0.73,0.82
8AGA_A.pdb,131,0.62,0.82,0.86
7OX3_C.pdb,119,0.36,0.8,0.89
7Q6C_A.pdb,163,-2.61,0.66,0.75
3PF6_A.pdb,56,-1.31,0.67,0.63
2V1V_A.pdb,29,-1.3,0.61,0.62
7ALC_F.pdb,83,0.4,0.82,0.9
4ICV_A.pdb,84,-0.24,0.78,0.85
2I5U_A.pdb,75,0.95,0.86,0.82
2F46_A.pdb,141,0.57,0.81,0.87
3B8L_A.pdb,140,0.24,0.79,0.84
1H7C_A.pdb,99,2.35,0.92,0.86
1KLX_A.pdb,133,-0.95,0.73,0.89
3QR7_A.pdb,115,-1.51,0.71,0.47
2P6H_A.pdb,134,0.19,0.79,0.91
2GF6_A.pdb,131,0.62,0.82,0.9
1T2W_A.pdb,145,-0.46,0.76,0.81
6MSV_A.pdb,86,1.21,0.87,0.85
7Z06_A.pdb,181,0.64,0.81,0.92
2CC0_A.pdb,192,0.77,0.81,0.97
2Q3Q_A.pdb,118,-1.73,0.69,0.86
4O32_A.pdb,89,0.38,0.82,0.87
2OD6_A.pdb,104,-2.55,0.66,0.73
2PQA_C.pdb,127,-1.31,0.71,0.85
2P12_A.pdb,163,0.4,0.8,0.9
8AMY_A.pdb,85,-1.73,0.69,0.87
2I4A_A.pdb,107,0.69,0.83,0.9
4IY0_A.pdb,152,0.59,0.81,0.86
8HJA_A.pdb,146,-0.6,0.75,0.84
4WAN_A.pdb,124,0.31,0.8,0.85
3HOI_A.pdb,184,-1.34,0.72,0.82
2XLK_A.pdb,188,1.44,0.84,0.78
8AG8_A.pdb,106,0.48,0.82,0.87
4IT7_A.pdb,107,-1.41,0.71,0.9
4Z8A_A.pdb,75,0.6,0.84,0.82
8EB9_A.pdb,89,0.17,0.8,0.87
2E0Q_A.pdb,104,1.91,0.89,0.87
8JWD_A.pdb,123,0.64,0.82,0.94
2PLI_A.pdb,83,0.09,0.8,0.83
4X2H_A.pdb,192,-0.1,0.78,0.86
8AJQ_A.pdb,132,-0.74,0.74,0.94
3EYY_A.pdb,133,-1.18,0.72,0.91
5JH0_A.pdb,156,2.09,0.88,0.81
1HLB_A.pdb,157,-3.74,0.6,0.82
4NF1_A.pdb,146,-0.09,0.78,0.89
1LUP_A.pdb,31,-3.84,0.31,0.47
1FAS_A.pdb,61,-0.02,0.79,0.84
6HTF_A.pdb,104,-0.87,0.75,0.83
3QV1_G.pdb,21,0.82,0.86,0.58
1RU5_A.pdb,36,-1.68,0.56,0.48
3KHT_A.pdb,130,0.05,0.79,0.85
4Y2M_A.pdb,65,0.51,0.83,0.87
4FVG_A.pdb,109,0.1,0.79,0.82
2QLC_A.pdb,126,-0.54,0.75,0.86
3O69_B.pdb,189,-0.34,0.77,0.89
2RE7_A.pdb,130,-1.37,0.71,0.84
2CB8_A.pdb,86,1.03,0.86,0.81
1PMH_X.pdb,181,1.76,0.86,0.94
4PZJ_A.pdb,67,0.99,0.87,0.73
2E1F_A.pdb,94,0.04,0.8,0.85
1JF3_A.pdb,147,-0.08,0.78,0.84
6K2H_A.pdb,135,1.24,0.85,0.91
3WH2_A.pdb,132,-0.93,0.73,0.85
2OTM_A.pdb,148,0.33,0.8,0.88
6IN7_A.pdb,79,0.57,0.83,0.86
3URR_A.pdb,152,1.61,0.86,0.89
1YN3_A.pdb,98,0.51,0.82,0.82
2F2L_A.pdb,166,0.16,0.79,0.94
8H02_A.pdb,79,-0.45,0.76,0.8
4OJU_A.pdb,140,-0.33,0.76,0.88
5MR1_A.pdb,101,-1.73,0.7,0.89
1RVV_1.pdb,154,0.37,0.8,0.83
2UVS_A.pdb,38,-1.36,0.6,0.61
4KDW_A.pdb,102,1.67,0.88,0.84
