model_name,protein_size,qmean4_zscore,qmean4_norm,qmeandisco
4XH7_A.pdb,110,0.69,0.82,0.92
5WST_A.pdb,71,3.2,1.0,0.8
5DZO_A.pdb,107,0.47,0.82,0.89
4XPX_A.pdb,130,-0.47,0.76,0.94
3D5P_A.pdb,131,-1.01,0.73,0.92
1CTI_A.pdb,29,-0.89,0.66,0.6
6OKH_A.pdb,178,1.18,0.83,0.9
6APP_B.pdb,64,0.56,0.83,0.84
2NSC_A.pdb,109,-0.06,0.79,0.7
8B46_D.pdb,26,-0.11,0.75,0.71
3HK4_A.pdb,114,0.87,0.83,0.86
2QEA_A.pdb,156,0.24,0.79,0.85
1Y55_X.pdb,120,0.87,0.83,0.77
3W6B_A.pdb,160,-0.54,0.75,0.93
5MDU_A.pdb,153,0.96,0.83,0.92
5FVK_A.pdb,82,-0.03,0.79,0.83
3T8Y_A.pdb,134,0.58,0.81,0.93
6A2W_A.pdb,166,0.5,0.8,0.78
2I8T_A.pdb,149,0.11,0.79,0.85
4YY2_A.pdb,99,2.56,0.93,0.82
1M4J_A.pdb,133,-0.41,0.76,0.9
2WY3_B.pdb,137,-0.04,0.78,0.81
4M1A_A.pdb,106,0.99,0.84,0.93
5CYW_B.pdb,149,-0.61,0.75,0.93
5XYF_B.pdb,23,-0.43,0.71,0.64
2OZJ_A.pdb,106,-0.91,0.74,0.79
4CGQ_A.pdb,88,-0.43,0.77,0.77
3P8C_F.pdb,156,-0.43,0.76,0.77
1TN3_A.pdb,137,-1.62,0.7,0.84
3S4E_A.pdb,144,0.37,0.8,0.88
6NKL_A.pdb,134,-1.11,0.72,0.89
7KRI_A.pdb,127,-0.67,0.75,0.74
2YXB_A.pdb,134,1.12,0.84,0.84
1OTG_A.pdb,125,-0.55,0.75,0.91
3KHE_B.pdb,191,0.5,0.8,0.82
3VWB_A.pdb,116,-0.57,0.75,0.84
8BZ2_A.pdb,83,0.59,0.83,0.88
3JTN_A.pdb,89,0.3,0.81,0.84
2J4B_B.pdb,133,-0.76,0.74,0.87
3K1S_A.pdb,103,-0.49,0.77,0.78
7BQG_A.pdb,85,1.56,0.89,0.77
3HUH_A.pdb,124,0.34,0.8,0.91
