model_name,protein_size,qmean4_zscore,qmean4_norm,qmeandisco
4F7F_A.pdb,119,-0.22,0.77,0.87
2CCQ_A.pdb,99,0.11,0.8,0.83
4GB5_A.pdb,146,0.45,0.8,0.9
5XO5_A.pdb,21,-4.22,0.26,0.45
5EZ2_A.pdb,169,-0.01,0.78,0.93
6FQ1_A.pdb,164,0.84,0.82,0.88
3ON9_A.pdb,160,-0.08,0.78,0.85
3KYJ_A.pdb,129,0.02,0.78,0.87
1IHN_A.pdb,111,0.24,0.8,0.89
2UWJ_E.pdb,70,-1.4,0.71,0.87
8IHA_A.pdb,129,-0.31,0.77,0.92
2F4P_A.pdb,133,1.58,0.87,0.87
2MJR_A.pdb,10,0.14,0.78,0.93
6ZPE_A.pdb,124,-0.85,0.74,0.8
5EZU_A.pdb,76,0.05,0.8,0.85
7V4Z_A.pdb,144,1.62,0.86,0.93
4IWK_A.pdb,158,0.21,0.79,0.93
7TZK_A.pdb,64,-0.38,0.77,0.81
3KKF_A.pdb,100,0.12,0.8,0.84
1JOT_B.pdb,16,-0.46,0.71,0.59
6GU1_A.pdb,55,-0.52,0.74,0.83
4GYT_A.pdb,177,-0.57,0.76,0.9
2JJ7_B.pdb,183,0.7,0.81,0.83
1VFY_A.pdb,67,-0.8,0.74,0.95
6KY1_B.pdb,180,0.99,0.82,0.9
3E1E_A.pdb,136,-1.02,0.73,0.9
2YKZ_A.pdb,126,0.06,0.79,0.86
6ONT_A.pdb,121,0.38,0.8,0.89
5WUJ_B.pdb,105,0.67,0.83,0.87
2IC6_A.pdb,71,1.43,0.89,0.83
2XZ8_A.pdb,135,0.16,0.79,0.95
6DXN_A.pdb,185,-0.28,0.77,0.86
6W5Q_A.pdb,106,1.19,0.85,0.89
5EHA_A.pdb,153,-0.09,0.78,0.9
1DF6_A.pdb,30,-0.49,0.7,0.66
8HP8_A.pdb,161,-0.8,0.74,0.92
1TVG_A.pdb,136,-0.53,0.75,0.89
1JSG_A.pdb,111,0.09,0.79,0.94
3NSW_A.pdb,106,0.53,0.82,0.91
3CNE_A.pdb,167,-0.84,0.74,0.81
2MMJ_A.pdb,20,-2.91,0.42,0.3
8OFJ_A.pdb,152,0.1,0.78,0.9
6RFG_A.pdb,135,0.25,0.8,0.88
4WWF_A.pdb,111,1.37,0.86,0.81
5SV5_A.pdb,103,0.42,0.81,0.89
3TE8_A.pdb,115,0.29,0.8,0.83
4GT8_A.pdb,133,1.05,0.84,0.86
4RWU_A.pdb,81,1.48,0.89,0.79
1VCC_A.pdb,77,1.03,0.86,0.75
2G3W_A.pdb,173,-0.92,0.74,0.86
3TUO_A.pdb,104,-0.9,0.74,0.84
1G31_A.pdb,107,-1.54,0.71,0.73
1QF9_A.pdb,194,0.85,0.81,0.9
6IST_A.pdb,70,0.29,0.81,0.88
3T6K_A.pdb,120,0.27,0.8,0.88
8Q90_A.pdb,147,-0.4,0.76,0.9
4R03_A.pdb,107,-0.03,0.79,0.83
5FV5_A.pdb,177,0.02,0.78,0.91
1ZMA_A.pdb,116,0.02,0.79,0.9
7NDJ_A.pdb,166,1.8,0.86,0.89
1UFY_A.pdb,121,1.14,0.84,0.86
2DC4_A.pdb,164,1.0,0.83,0.87
6ZP9_A.pdb,185,-0.0,0.78,0.96
5IC5_A.pdb,166,-0.24,0.77,0.84
5IXH_A.pdb,159,0.74,0.82,0.88
5F3O_A.pdb,194,-1.64,0.71,0.92
4FP5_D.pdb,97,-0.23,0.78,0.86
