model_name,protein_size,qmean4_zscore,qmean4_norm,qmeandisco
7PE0_A.pdb,128,0.15,0.79,0.86
5H7R_D.pdb,124,-1.22,0.72,0.87
6KN2_A.pdb,10,1.95,0.99,0.45
3G21_A.pdb,77,0.39,0.82,0.83
1X8Q_A.pdb,184,-0.08,0.78,0.87
3D2Q_A.pdb,66,-0.26,0.78,0.78
1UT3_A.pdb,38,-1.59,0.57,0.78
2HU9_A.pdb,130,0.6,0.82,0.91
6E3A_A.pdb,180,1.11,0.83,0.93
6ELM_A.pdb,98,1.29,0.86,0.8
4L9H_A.pdb,152,0.01,0.78,0.86
2I9X_A.pdb,81,0.37,0.82,0.8
7OOM_B.pdb,125,0.76,0.82,0.84
6J93_A.pdb,196,0.73,0.81,0.91
2ONF_A.pdb,137,0.32,0.8,0.85
7MRJ_A.pdb,85,-0.58,0.76,0.94
2FCR_A.pdb,173,1.26,0.84,0.94
2W4L_E.pdb,162,0.19,0.79,0.9
1MWQ_A.pdb,99,1.85,0.89,0.89
8R3F_A.pdb,103,0.59,0.82,0.88
5HDA_A.pdb,121,1.75,0.88,0.85
6W70_A.pdb,126,1.52,0.87,0.86
3AGT_A.pdb,133,0.86,0.83,0.85
1WEH_A.pdb,169,0.65,0.81,0.94
3F5R_A.pdb,112,0.41,0.81,0.8
4PUG_A.pdb,94,0.06,0.8,0.84
7XPK_A.pdb,159,-0.65,0.75,0.89
1NN7_A.pdb,105,-1.04,0.74,0.85
2PEZ_A.pdb,176,1.12,0.83,0.91
4A1R_A.pdb,142,0.97,0.83,0.89
4EQQ_A.pdb,102,0.84,0.84,0.88
2FJ8_A.pdb,120,1.08,0.84,0.83
3NRW_A.pdb,102,-0.11,0.79,0.85
5FWZ_A.pdb,97,0.15,0.8,0.92
6U2U_A.pdb,46,0.89,0.89,0.8
2QZI_A.pdb,99,0.13,0.8,0.86
6HFM_A.pdb,165,0.55,0.81,0.91
2IGU_A.pdb,12,-0.21,0.74,0.95
2P13_A.pdb,84,0.19,0.81,0.87
3FKC_A.pdb,113,-1.16,0.73,0.87
8T9N_A.pdb,135,0.19,0.79,0.89
4OY7_A.pdb,196,1.27,0.83,0.91
1SJ1_A.pdb,66,-0.11,0.79,0.8
1ICF_I.pdb,65,1.24,0.88,0.8
3LT7_A.pdb,54,0.27,0.81,0.82
8K6H_A.pdb,156,0.3,0.79,0.82
