model_name,protein_size,qmean4_zscore,qmean4_norm,qmeandisco
3U4Z_A.pdb,109,-3.67,0.59,0.77
2YEN_A.pdb,21,0.7,0.84,0.68
4ISO_B.pdb,60,0.45,0.83,0.84
2Z0T_A.pdb,109,1.6,0.87,0.83
1AHS_A.pdb,119,-0.12,0.78,0.95
1KQ1_A.pdb,60,0.82,0.85,0.81
5A4O_A.pdb,74,-0.53,0.76,0.79
6SU5_A.pdb,154,0.44,0.8,0.9
7RIH_A.pdb,3,-6.45,0.0,0.0
3U12_A.pdb,101,1.06,0.85,0.92
7XI6_A.pdb,56,0.54,0.84,0.79
5HTL_A.pdb,140,0.45,0.8,0.86
6EWH_A.pdb,181,0.39,0.8,0.89
4UXA_A.pdb,131,-0.03,0.78,0.92
4ZDS_A.pdb,132,0.69,0.82,0.83
1XAK_A.pdb,68,0.72,0.85,0.86
6X1N_A.pdb,105,2.22,0.91,0.9
1SEN_A.pdb,135,0.5,0.81,0.85
7TWD_A.pdb,44,0.88,0.89,0.88
5NYK_A.pdb,118,0.58,0.82,0.87
3FGV_A.pdb,91,0.05,0.8,0.83
4M7R_A.pdb,180,0.97,0.82,0.82
4OWK_A.pdb,131,-1.2,0.72,0.93
3IIS_M.pdb,151,0.86,0.82,0.82
7PB9_A.pdb,173,0.02,0.78,0.91
5GYQ_A.pdb,169,-0.93,0.74,0.91
4GZC_A.pdb,132,0.49,0.81,0.84
3F40_A.pdb,105,-0.3,0.78,0.83
6ZEG_C.pdb,66,-2.08,0.66,0.67
6QEQ_A.pdb,110,0.14,0.8,0.75
8A8F_B.pdb,59,-2.21,0.62,0.71
2FW5_A.pdb,125,-0.75,0.74,0.91
1WS8_A.pdb,104,1.08,0.85,0.9
1TU9_A.pdb,131,0.06,0.79,0.85
3QF2_A.pdb,90,0.14,0.8,0.85
4L82_A.pdb,156,-0.11,0.77,0.95
4G9Y_A.pdb,136,0.23,0.79,0.84
6VG5_A.pdb,81,0.06,0.8,0.72
3R3Q_A.pdb,153,0.94,0.83,0.89
3ONJ_A.pdb,97,0.28,0.81,0.81
2CX1_A.pdb,181,1.76,0.86,0.88
4F3J_A.pdb,143,-0.09,0.78,0.91
2A9I_A.pdb,105,-0.4,0.77,0.83
5UC0_A.pdb,159,-0.04,0.78,0.87
6GHU_A.pdb,78,-0.68,0.75,0.86
1TZV_A.pdb,141,1.02,0.83,0.88
5EF9_A.pdb,168,-0.58,0.76,0.85
7X4D_A.pdb,37,0.97,0.88,0.84
5HDK_D.pdb,108,0.56,0.82,0.8
8EY4_A.pdb,86,0.67,0.83,0.89
1LJ2_A.pdb,106,-0.35,0.77,0.81
1YQB_A.pdb,88,0.31,0.81,0.73
5H1X_A.pdb,48,-0.6,0.71,0.8
7S3W_A.pdb,145,1.32,0.85,0.91
6MGH_A.pdb,147,-0.69,0.75,0.89
1Z8U_A.pdb,90,-1.44,0.71,0.76
2Q3W_A.pdb,109,0.37,0.81,0.86
8P35_A.pdb,100,0.42,0.82,0.87
6WI6_A.pdb,58,0.08,0.8,0.89
2O6K_A.pdb,70,-0.51,0.76,0.85
4C1Q_A.pdb,173,0.51,0.8,0.91
8C4P_A.pdb,173,1.44,0.84,0.84
3B33_A.pdb,105,-0.77,0.75,0.82
1XER_A.pdb,102,-0.88,0.75,0.9
3KCM_A.pdb,134,0.07,0.79,0.86
3RHB_A.pdb,100,2.43,0.92,0.83
7D8O_A.pdb,163,0.26,0.79,0.9
4Q9B_A.pdb,101,0.16,0.8,0.9
1JEK_A.pdb,40,0.86,0.86,0.9
5LPI_A.pdb,129,-0.72,0.74,0.92
5W60_A.pdb,179,-0.76,0.75,0.76
6ANZ_A.pdb,144,1.22,0.84,0.91
2GYQ_B.pdb,157,-0.22,0.77,0.86
7P3I_A.pdb,168,-0.43,0.76,0.8
4K0D_A.pdb,141,-1.09,0.73,0.82
1U2M_C.pdb,137,0.69,0.82,0.82
1QB2_A.pdb,107,0.33,0.81,0.72
6OOD_A.pdb,155,0.14,0.79,0.9
4L05_A.pdb,154,2.28,0.89,0.92
2OMD_A.pdb,135,1.16,0.84,0.9
5U9X_A.pdb,23,-0.87,0.66,0.58
2W7A_A.pdb,97,0.94,0.85,0.82
5K08_A.pdb,142,0.38,0.8,0.9
5KWR_A.pdb,139,0.1,0.79,0.88
7QFK_A.pdb,174,0.57,0.81,0.9
2RJN_A.pdb,135,0.19,0.79,0.91
4EF0_A.pdb,115,0.96,0.84,0.88
