model_name,protein_size,qmean4_zscore,qmean4_norm,qmeandisco
8F60_C.pdb,106,-1.21,0.72,0.81
2OX1_A.pdb,196,0.81,0.81,0.91
4AAZ_A.pdb,47,-0.04,0.78,0.86
1N8V_A.pdb,101,0.32,0.81,0.74
4YTL_A.pdb,97,2.07,0.91,0.89
2DYI_A.pdb,162,1.18,0.84,0.86
5WK0_A.pdb,156,-0.93,0.73,0.89
6A02_A.pdb,170,-0.31,0.77,0.9
5YHY_A.pdb,146,0.51,0.81,0.83
1AMX_A.pdb,150,-0.59,0.75,0.92
6TQP_A.pdb,142,-0.42,0.76,0.89
4GDZ_A.pdb,147,0.85,0.82,0.9
7R5Z_A.pdb,142,0.28,0.8,0.91
8SBM_B.pdb,126,1.01,0.84,0.87
2XEU_A.pdb,64,0.05,0.8,0.8
4LDA_A.pdb,124,-0.66,0.75,0.86
8R79_A.pdb,60,0.11,0.8,0.83
1UB9_A.pdb,100,-0.46,0.77,0.89
3NMD_A.pdb,52,1.54,0.95,0.85
4N3Y_B.pdb,83,2.44,0.95,0.85
4GYM_B.pdb,137,-0.91,0.73,0.76
2H30_A.pdb,149,0.03,0.78,0.83
3CNU_A.pdb,110,1.69,0.88,0.93
2EBE_A.pdb,106,0.81,0.83,0.88
4B6I_A.pdb,100,-0.76,0.75,0.9
2FSD_A.pdb,110,1.28,0.86,0.94
3HV2_A.pdb,136,0.47,0.81,0.88
7RFD_A.pdb,168,-0.08,0.78,0.87
1ALY_A.pdb,146,-3.6,0.6,0.82
4BSX_A.pdb,141,0.42,0.8,0.88
5MKI_A.pdb,70,0.05,0.8,0.79
3PFT_A.pdb,156,0.24,0.79,0.88
4V1K_A.pdb,129,0.6,0.82,0.88
4I6X_A.pdb,117,1.28,0.86,0.9
3TXS_A.pdb,89,0.8,0.84,0.84
6D9O_A.pdb,31,-0.05,0.76,0.76
2BDR_A.pdb,159,0.63,0.81,0.85
7ACM_A.pdb,173,0.28,0.79,0.83
2D7V_A.pdb,152,0.04,0.78,0.85
6WXO_A.pdb,172,3.2,0.92,0.82
1C4E_A.pdb,34,-3.4,0.36,0.65
2NS9_A.pdb,152,0.69,0.81,0.86
4G3V_A.pdb,162,0.81,0.82,0.92
2M61_A.pdb,13,1.17,0.9,1.0
2OXL_A.pdb,61,0.02,0.8,0.83
3WWL_A.pdb,53,1.63,0.94,0.82
6FMG_A.pdb,140,-0.76,0.74,0.88
1WLU_A.pdb,117,0.63,0.82,0.92
7LOG_A.pdb,161,0.43,0.8,0.89
8AQR_A.pdb,58,1.23,0.9,0.82
4EIC_A.pdb,93,1.5,0.88,0.91
3LOI_A.pdb,161,1.21,0.84,0.92
5CWF_A.pdb,177,4.07,0.96,0.83
7A3C_A.pdb,61,-0.6,0.75,0.8
1ZKI_A.pdb,120,-0.83,0.74,0.84
