model_name,protein_size,qmean4_zscore,qmean4_norm,qmeandisco
5JBN_A.pdb,160,0.49,0.8,0.85
3KB2_A.pdb,170,-1.07,0.73,0.83
2Y43_A.pdb,89,-2.65,0.63,0.87
7R79_A.pdb,76,-0.98,0.73,0.82
3GA4_A.pdb,156,1.26,0.84,0.9
3GY9_A.pdb,144,-0.78,0.74,0.81
5JPH_A.pdb,133,0.04,0.78,0.77
2FP1_A.pdb,165,0.66,0.81,0.9
5UM7_A.pdb,140,-0.91,0.73,0.89
6HYF_B.pdb,100,0.16,0.8,0.8
2C1D_B.pdb,137,0.2,0.79,0.9
3PGZ_B.pdb,114,-0.28,0.77,0.84
3GDW_A.pdb,124,0.14,0.79,0.81
3BRN_A.pdb,153,0.28,0.79,0.92
2I88_A.pdb,178,-0.72,0.75,0.91
2GBB_A.pdb,152,0.75,0.82,0.89
1IM3_D.pdb,95,0.43,0.82,0.94
2IGL_A.pdb,116,0.01,0.79,0.88
2KNP_A.pdb,33,0.82,0.86,0.95
5Z1N_A.pdb,166,-1.08,0.73,0.84
3ROF_A.pdb,158,0.68,0.81,0.9
3KXT_A.pdb,56,1.33,0.91,0.8
2D58_A.pdb,107,-0.53,0.76,0.78
7CFF_A.pdb,156,-1.92,0.68,0.85
3B42_A.pdb,126,-0.12,0.78,0.89
2IYG_A.pdb,109,-0.15,0.78,0.84
3FV6_A.pdb,145,-0.42,0.76,0.88
6SJ5_A.pdb,112,-0.17,0.78,0.82
1QUZ_A.pdb,34,-0.06,0.75,0.68
3OSE_A.pdb,100,0.16,0.8,0.81
7KOS_A.pdb,149,0.56,0.81,0.91
1VZJ_A.pdb,25,-0.84,0.66,0.67
5TW9_A.pdb,63,-0.31,0.77,0.89
1GYO_A.pdb,106,-1.09,0.73,0.86
4BEG_A.pdb,178,1.97,0.87,0.92
4U7I_A.pdb,93,0.88,0.84,0.83
4MEJ_A.pdb,167,0.12,0.79,0.93
3UEB_A.pdb,102,1.68,0.88,0.82
4QT6_A.pdb,154,0.11,0.79,0.94
3D8P_B.pdb,157,0.3,0.79,0.86
7Y6B_A.pdb,72,0.84,0.85,0.85
7RJJ_A.pdb,117,0.24,0.8,0.82
6W3W_A.pdb,107,2.37,0.92,0.87
7LVM_A.pdb,185,-0.3,0.77,0.82
1QKR_A.pdb,172,0.67,0.81,0.73
6OJ7_A.pdb,48,-0.72,0.7,0.41
4GOQ_A.pdb,107,0.65,0.82,0.86
6C1Z_A.pdb,138,-0.05,0.78,0.91
2PCN_A.pdb,161,0.94,0.82,0.93
2WUH_A.pdb,164,0.17,0.79,0.88
3WEB_A.pdb,132,0.75,0.82,0.87
3I4O_A.pdb,68,0.03,0.8,0.76
1O7I_A.pdb,115,1.65,0.87,0.82
3HVW_A.pdb,158,1.07,0.83,0.89
6C1X_A.pdb,127,0.89,0.83,0.87
2OV0_A.pdb,105,0.89,0.84,0.88
5V1V_A.pdb,88,-0.3,0.78,0.83
7UZO_A.pdb,101,0.96,0.84,0.81
4F25_A.pdb,81,0.77,0.85,0.86
2Q87_A.pdb,107,-0.26,0.78,0.85
6L34_A.pdb,68,1.89,0.93,0.79
1NBJ_A.pdb,30,-0.71,0.68,0.66
3BN7_A.pdb,99,-0.85,0.75,0.9
1FM0_D.pdb,81,0.12,0.8,0.84
8HN0_B.pdb,114,0.59,0.82,0.88
4NJ6_A.pdb,88,0.14,0.8,0.86
5C9F_A.pdb,132,0.55,0.81,0.86
