model_name,protein_size,qmean4_zscore,qmean4_norm,qmeandisco
2OH1_A.pdb,169,-0.67,0.75,0.89
4YWA_A.pdb,121,1.86,0.88,0.94
4O2H_A.pdb,135,0.47,0.81,0.9
1SD4_A.pdb,118,-0.72,0.75,0.78
6W4L_A.pdb,176,0.17,0.79,0.85
3WMQ_A.pdb,94,-1.5,0.71,0.92
1I0V_A.pdb,104,0.68,0.83,0.9
3H51_A.pdb,139,-0.49,0.75,0.86
4EHS_A.pdb,122,0.59,0.82,0.86
5MIY_A.pdb,127,0.82,0.83,0.87
4FK5_E.pdb,91,-1.37,0.71,0.76
2BBE_A.pdb,103,0.22,0.8,0.89
7DGY_A.pdb,99,1.92,0.9,0.86
6TYK_A.pdb,185,0.91,0.82,0.91
8PHY_A.pdb,103,0.93,0.84,0.86
2TGI_A.pdb,112,-0.02,0.79,0.69
2YC1_C.pdb,65,0.07,0.8,0.84
5UA8_A.pdb,25,-1.31,0.61,0.44
2IZX_A.pdb,39,0.71,0.85,0.81
5K2I_A.pdb,157,-0.45,0.76,0.92
5EOF_A.pdb,74,1.93,0.92,0.8
5W82_A.pdb,100,-1.12,0.73,0.73
5V77_A.pdb,106,1.02,0.85,0.9
3JZZ_A.pdb,148,0.3,0.8,0.85
3T49_A.pdb,70,1.01,0.86,0.85
1XGW_A.pdb,136,0.94,0.83,0.86
5XNS_C.pdb,70,0.94,0.86,0.83
3H3H_B.pdb,117,0.6,0.82,0.87
3NJA_A.pdb,104,-0.61,0.76,0.85
1TJL_A.pdb,145,-0.42,0.76,0.83
4ZA6_A.pdb,188,0.85,0.82,0.89
2NDM_A.pdb,13,-0.13,0.75,0.62
4YNX_A.pdb,40,1.28,0.91,0.7
5EZB_A.pdb,138,0.15,0.79,0.91
2RDC_A.pdb,130,-0.49,0.76,0.84
3D7A_A.pdb,137,1.29,0.85,0.9
2QQY_A.pdb,133,-0.04,0.78,0.9
3QRL_A.pdb,137,0.45,0.81,0.87
6XAU_A.pdb,119,-0.84,0.74,0.93
2DX0_A.pdb,117,-1.78,0.69,0.74
