model_name,protein_size,qmean4_zscore,qmean4_norm,qmeandisco
4KG3_A.pdb,138,0.92,0.83,0.84
6CFB_A.pdb,31,0.04,0.77,0.71
1LMI_A.pdb,131,-0.17,0.77,0.89
8DWL_D.pdb,23,-0.68,0.68,0.73
5V6J_A.pdb,111,-0.04,0.79,0.95
3CBQ_A.pdb,169,-0.37,0.76,0.91
3ZMD_A.pdb,148,0.36,0.8,0.87
4IIO_A.pdb,63,-0.5,0.76,0.79
3OV5_A.pdb,84,-0.64,0.76,0.8
2Q03_A.pdb,131,0.5,0.81,0.82
6HGO_A.pdb,126,-0.51,0.76,0.78
2A2L_A.pdb,145,-0.62,0.75,0.9
5E5Y_A.pdb,62,-0.11,0.79,0.95
1J5Y_A.pdb,167,1.53,0.85,0.87
4RRI_A.pdb,136,-0.27,0.77,0.94
5X7L_A.pdb,130,0.82,0.83,0.86
3H9W_A.pdb,106,-0.04,0.79,0.89
3GHF_A.pdb,100,0.53,0.82,0.81
2J1V_A.pdb,142,0.49,0.81,0.92
3PJV_D.pdb,125,-0.78,0.74,0.75
2RA6_A.pdb,141,0.81,0.82,0.88
4JE6_A.pdb,193,-0.28,0.77,0.92
8P33_D.pdb,125,-1.26,0.72,0.87
2N2G_A.pdb,33,0.71,0.84,0.83
2NCY_A.pdb,24,-1.7,0.56,0.43
2XDY_A.pdb,127,0.28,0.8,0.9
2J2J_A.pdb,182,-0.52,0.76,0.92
6K0O_A.pdb,104,-0.39,0.77,0.85
1NKD_A.pdb,59,0.45,0.83,0.8
2NUH_A.pdb,104,-0.67,0.76,0.87
3UX3_A.pdb,130,-0.05,0.78,0.86
6AC0_A.pdb,115,0.63,0.82,0.81
3C8L_A.pdb,115,-0.63,0.75,0.75
5IXU_A.pdb,102,-0.9,0.75,0.88
1POC_A.pdb,134,-1.87,0.68,0.9
7FDM_C.pdb,20,-0.96,0.65,0.85
8ECP_A.pdb,98,-0.37,0.77,0.88
1F3V_A.pdb,158,-0.86,0.74,0.81
3N7S_C.pdb,91,-1.34,0.71,0.82
7TVC_A.pdb,126,0.27,0.8,0.96
7YGW_A.pdb,102,1.04,0.85,0.86
8EV4_A.pdb,115,1.24,0.85,0.97
5ELH_A.pdb,142,-1.35,0.71,0.92
3LKX_B.pdb,54,-0.83,0.72,0.76
8U12_A.pdb,48,0.33,0.82,0.83
5COS_A.pdb,56,-0.52,0.74,0.87
6JLI_A.pdb,118,0.53,0.81,0.92
6CXT_A.pdb,71,-0.55,0.76,0.86
4M20_A.pdb,121,-1.67,0.69,0.9
4BPF_A.pdb,85,0.84,0.85,0.81
1GH2_A.pdb,107,-0.5,0.76,0.92
4UQW_A.pdb,163,-0.32,0.77,0.89
2R1J_L.pdb,66,-0.29,0.78,0.84
1VCD_A.pdb,126,0.58,0.81,0.91
2D4U_A.pdb,167,-0.56,0.76,0.87
5BQ5_A.pdb,177,1.41,0.84,0.88
2CHC_A.pdb,169,0.01,0.78,0.92
1VQS_A.pdb,106,-0.1,0.78,0.9
4QXZ_A.pdb,146,1.63,0.86,0.89
4AGR_B.pdb,144,0.46,0.8,0.93
4GDO_A.pdb,42,1.82,1.0,0.82
3E0H_A.pdb,149,0.91,0.83,0.85
1FPO_A.pdb,171,1.49,0.85,0.84
3V1A_A.pdb,48,0.73,0.87,0.76
1F94_A.pdb,63,-0.36,0.77,0.85
3C6V_A.pdb,140,1.34,0.85,0.85
1GUR_A.pdb,34,-4.18,0.27,0.54
1EJF_A.pdb,110,-1.26,0.72,0.9
1BAI_A.pdb,124,-2.31,0.66,0.72
4EAI_A.pdb,100,-0.08,0.79,0.81
4WLS_A.pdb,108,1.92,0.89,0.75
