model_name,protein_size,qmean4_zscore,qmean4_norm,qmeandisco
3HT1_A.pdb,142,0.77,0.82,0.94
8S9Y_A.pdb,39,-4.65,0.21,0.43
7MS7_A.pdb,113,0.72,0.82,0.91
3G46_A.pdb,146,-0.77,0.74,0.87
7CZJ_A.pdb,97,-0.53,0.76,0.89
7T0Y_B.pdb,46,-1.2,0.64,0.36
3A35_A.pdb,184,1.55,0.85,0.87
3KJJ_A.pdb,113,-0.61,0.76,0.87
5CXM_A.pdb,99,2.01,0.9,0.94
1LKI_A.pdb,172,-0.4,0.76,0.82
1KMT_A.pdb,138,0.39,0.8,0.87
2MJQ_A.pdb,10,0.65,0.84,0.8
5OTN_A.pdb,156,0.66,0.81,0.86
3PUC_A.pdb,98,0.71,0.83,0.91
6DHX_A.pdb,180,-0.49,0.76,0.92
5ISV_A.pdb,156,-0.39,0.76,0.85
1C9O_A.pdb,66,0.93,0.86,0.84
6ST4_A.pdb,87,0.04,0.8,0.84
4Q63_A.pdb,92,0.32,0.81,0.91
4EW7_A.pdb,112,0.05,0.79,0.79
4O1R_A.pdb,142,0.6,0.81,0.9
2VZC_A.pdb,127,0.63,0.82,0.84
3D3O_A.pdb,167,-0.23,0.77,0.74
4POI_A.pdb,115,2.26,0.91,0.84
4N5X_A.pdb,155,1.14,0.84,0.85
3IDU_B.pdb,109,0.48,0.81,0.9
7D2N_E.pdb,30,0.26,0.79,0.73
2VO9_A.pdb,149,0.54,0.81,0.89
3NZL_A.pdb,70,-0.51,0.76,0.8
2HD9_A.pdb,145,0.93,0.83,0.92
6AC5_A.pdb,97,-0.24,0.78,0.9
2OPK_A.pdb,107,0.88,0.84,0.87
4JGN_A.pdb,125,-0.3,0.77,0.88
3RTL_A.pdb,114,-0.3,0.77,0.86
6SJA_B.pdb,134,-0.75,0.74,0.82
2GU9_A.pdb,111,-1.51,0.71,0.87
6ZSH_B.pdb,108,-0.14,0.78,0.87
2RFF_A.pdb,106,0.05,0.79,0.79
3KYZ_A.pdb,110,1.01,0.84,0.85
3H36_A.pdb,76,0.88,0.85,0.89
2Z0R_A.pdb,94,-1.06,0.73,0.84
1KNQ_A.pdb,171,0.95,0.82,0.89
5IXG_A.pdb,168,1.17,0.83,0.9
1C3M_A.pdb,145,0.66,0.81,0.91
3HE0_C.pdb,182,-0.05,0.78,0.75
7CHX_A.pdb,91,-0.01,0.79,0.89
3OHE_A.pdb,131,0.32,0.8,0.9
1CPQ_A.pdb,129,-0.37,0.76,0.85
6PJV_A.pdb,152,0.41,0.8,0.88
2OYP_A.pdb,109,-0.07,0.78,0.86
1WL8_A.pdb,186,1.2,0.83,0.91
4HRG_A.pdb,114,-0.0,0.79,0.8
2E2S_A.pdb,35,-0.88,0.66,0.83
1D8L_A.pdb,140,-0.5,0.76,0.86
6ATW_A.pdb,38,0.88,0.87,0.85
3L1N_A.pdb,152,-0.79,0.74,0.84
5W93_A.pdb,133,-0.27,0.77,0.92
6N1L_A.pdb,141,0.17,0.79,0.86
3F08_A.pdb,135,0.14,0.79,0.85
1R7J_A.pdb,90,1.44,0.88,0.81
4OIJ_A.pdb,71,-0.89,0.74,0.79
3Q20_A.pdb,114,0.37,0.81,0.85
6TD7_A.pdb,126,0.48,0.81,0.9
7ZLP_A.pdb,169,0.29,0.79,0.88
7W27_C.pdb,109,0.18,0.8,0.85
4CHD_A.pdb,135,0.38,0.8,0.94
3ZXN_B.pdb,115,0.55,0.82,0.84
4KT3_B.pdb,127,0.97,0.84,0.9
5T87_A.pdb,111,-0.13,0.78,0.89
3CEC_A.pdb,90,1.65,0.89,0.9
2E4M_C.pdb,143,-1.86,0.69,0.9
2GXG_A.pdb,140,0.78,0.82,0.87
5TGN_A.pdb,107,-0.29,0.77,0.85
3EHC_A.pdb,124,0.24,0.8,0.86
2C5I_T.pdb,93,0.63,0.83,0.8
2C2I_A.pdb,147,0.75,0.82,0.92
3GP4_A.pdb,132,1.37,0.86,0.83
5XLL_A.pdb,155,-0.41,0.76,0.79
2QQZ_A.pdb,120,0.55,0.81,0.85
5GKK_A.pdb,147,1.0,0.83,0.92
6YR7_C.pdb,7,-5.09,0.16,0.0
3ZUI_A.pdb,146,-0.77,0.74,0.92
5KO4_A.pdb,101,0.04,0.79,0.9
2HIY_B.pdb,177,0.1,0.78,0.89
3M8E_B.pdb,93,-0.98,0.74,0.9
3M21_A.pdb,65,-0.22,0.78,0.85
2HDI_B.pdb,103,-0.41,0.77,0.8
4ACJ_A.pdb,167,0.57,0.81,0.92
4ERC_A.pdb,150,1.01,0.83,0.92
7BU5_B.pdb,49,0.64,0.86,0.7
7XNJ_A.pdb,67,0.84,0.86,0.83
3GQS_B.pdb,101,-0.39,0.77,0.88
3CCG_A.pdb,184,0.7,0.81,0.91
2VSW_A.pdb,134,-0.61,0.75,0.91
1QST_A.pdb,160,-1.1,0.73,0.86
6UWO_A.pdb,120,-0.28,0.77,0.78
1CJW_A.pdb,166,-1.44,0.72,0.87
3R3P_A.pdb,97,0.97,0.85,0.87
5N17_A.pdb,129,0.57,0.81,0.88
4E0A_A.pdb,153,-0.97,0.73,0.83
1T8K_A.pdb,77,1.12,0.87,0.77
2K10_A.pdb,32,-2.54,0.46,0.52
6L8G_B.pdb,87,1.02,0.86,0.85
7WRM_A.pdb,143,0.82,0.82,0.83
7CUJ_C.pdb,38,0.56,0.83,0.73
1KTH_A.pdb,58,0.87,0.87,0.83
6DS9_A.pdb,93,0.32,0.81,0.78
4TZH_A.pdb,190,-0.66,0.75,0.87
2Z5W_A.pdb,136,1.1,0.84,0.75
4I86_A.pdb,102,-0.66,0.76,0.88
5AYS_C.pdb,109,-0.58,0.76,0.87
