model_name,protein_size,qmean4_zscore,qmean4_norm,qmeandisco
7JFL_C.pdb,36,2.02,1.0,0.73
2PYT_A.pdb,122,0.7,0.82,0.92
6B9M_D.pdb,17,-0.97,0.65,0.73
6WJO_A.pdb,79,0.72,0.84,0.86
7JJK_A.pdb,71,0.8,0.85,0.83
3KLQ_A.pdb,137,1.12,0.84,0.9
2QRR_A.pdb,93,1.22,0.86,0.88
1OHU_B.pdb,159,-1.76,0.7,0.74
5LOS_A.pdb,89,0.26,0.81,0.88
4H7W_A.pdb,187,0.15,0.79,0.87
1W4S_A.pdb,146,-0.21,0.77,0.84
7F06_A.pdb,181,0.19,0.79,0.91
3I9X_A.pdb,157,1.44,0.85,0.94
1X7K_A.pdb,19,-2.37,0.48,0.38
3LHH_A.pdb,118,0.08,0.79,0.89
1NBW_B.pdb,113,0.12,0.79,0.9
6QAZ_A.pdb,128,-0.12,0.78,0.93
3OPC_A.pdb,126,0.78,0.83,0.81
3FFY_A.pdb,110,-0.18,0.78,0.84
2CJ4_A.pdb,147,0.1,0.79,0.91
3EJF_A.pdb,166,0.91,0.82,0.92
3NHV_A.pdb,132,0.76,0.82,0.9
7T89_A.pdb,63,-0.4,0.77,0.76
