model_name,protein_size,qmean4_zscore,qmean4_norm,qmeandisco
6GMP_A.pdb,118,1.18,0.85,0.86
5ESW_A.pdb,190,0.25,0.79,0.91
1X0T_A.pdb,106,2.75,0.94,0.75
1S98_A.pdb,97,-0.02,0.79,0.88
5V6G_A.pdb,157,-0.67,0.75,0.85
1ZVP_D.pdb,131,-1.57,0.7,0.78
3E0Z_A.pdb,104,-0.81,0.75,0.87
6UXE_B.pdb,85,-0.19,0.78,0.81
2O0Q_A.pdb,114,0.38,0.81,0.84
3VDJ_A.pdb,71,0.73,0.84,0.73
2PL1_A.pdb,117,-0.21,0.77,0.84
7OGW_A.pdb,68,0.19,0.81,0.82
1VHS_A.pdb,161,0.22,0.79,0.86
2VS7_A.pdb,179,-0.44,0.76,0.88
1WDV_A.pdb,148,1.59,0.86,0.89
4ATG_A.pdb,195,0.22,0.79,0.92
2P9R_A.pdb,102,0.12,0.8,0.81
4EP4_A.pdb,166,0.95,0.82,0.86
3MF7_A.pdb,117,-0.0,0.79,0.9
4NYH_A.pdb,182,-0.08,0.78,0.91
5LX6_A.pdb,191,-0.59,0.76,0.9
1XIW_A.pdb,91,-0.46,0.77,0.85
6PI3_A.pdb,17,2.02,1.0,0.61
4J4Z_A.pdb,160,0.82,0.82,0.83
5W39_A.pdb,171,-2.82,0.66,0.81
4FTX_A.pdb,158,0.05,0.78,0.84
4V3L_C.pdb,69,-1.88,0.67,0.85
3A5P_A.pdb,103,0.35,0.81,0.96
1OCS_A.pdb,131,-0.8,0.74,0.84
6JZV_A.pdb,141,0.61,0.81,0.82
2B5K_A.pdb,19,-4.05,0.28,0.39
3C5C_B.pdb,167,0.22,0.79,0.91
5XJG_B.pdb,30,-1.56,0.58,0.57
6ZGQ_A.pdb,153,-0.42,0.76,0.91
1JKE_A.pdb,145,0.73,0.82,0.84
4BJQ_A.pdb,78,0.1,0.8,0.78
1Z91_A.pdb,137,-1.76,0.69,0.82
3LFK_A.pdb,122,0.07,0.79,0.88
7LTW_A.pdb,103,0.65,0.83,0.86
3S2W_F.pdb,138,-0.62,0.75,0.8
7TVY_A.pdb,138,-0.91,0.73,0.94
1UGI_A.pdb,83,0.56,0.83,0.84
6ATS_A.pdb,24,0.61,0.83,0.78
6GD5_B.pdb,21,1.03,0.88,0.64
1C7K_A.pdb,132,1.51,0.86,0.92
2JPL_A.pdb,39,-2.38,0.48,0.56
2OD4_A.pdb,97,-0.46,0.77,0.72
2O4T_A.pdb,90,-0.32,0.77,0.91
1PNH_A.pdb,31,-1.17,0.62,0.67
7YUG_A.pdb,117,0.42,0.81,0.93
2AIB_A.pdb,98,-0.51,0.76,0.74
6U08_F.pdb,120,-0.44,0.76,0.89
1MZ9_A.pdb,45,0.96,0.9,0.81
6PI2_A.pdb,17,2.02,1.0,0.71
1F1E_A.pdb,147,0.9,0.83,0.84
4GQC_A.pdb,160,-0.05,0.78,0.89
2FBH_A.pdb,137,0.57,0.81,0.89
2QEU_A.pdb,127,-0.67,0.75,0.77
2R6V_A.pdb,178,-0.57,0.76,0.82
6A71_A.pdb,72,0.62,0.84,0.86
2O1Q_A.pdb,139,0.68,0.82,0.88
2BL0_A.pdb,63,0.29,0.82,0.83
2O1K_A.pdb,43,1.7,0.98,0.76
5KZV_A.pdb,117,-0.34,0.77,0.85
3HX9_A.pdb,101,-0.33,0.77,0.8
8TFS_A.pdb,141,1.01,0.83,0.93
4CSH_A.pdb,164,0.93,0.82,0.92
1JZN_A.pdb,135,-0.92,0.73,0.91
7M97_A.pdb,124,-0.27,0.77,0.9
7Y5M_A.pdb,155,0.16,0.79,0.95
2G64_A.pdb,140,0.77,0.82,0.88
5CTV_A.pdb,176,0.28,0.79,0.95
2A5D_B.pdb,187,0.2,0.79,0.82
2Z8H_A.pdb,137,-1.97,0.68,0.77
1SXM_A.pdb,39,-0.55,0.7,0.67
2EO4_A.pdb,149,-0.29,0.77,0.93
2H1C_A.pdb,139,-0.19,0.77,0.85
6YN1_J.pdb,29,-0.5,0.7,0.7
2FZT_A.pdb,76,1.85,0.92,0.84
3KGZ_A.pdb,145,0.72,0.82,0.93
