model_name,protein_size,qmean4_zscore,qmean4_norm,qmeandisco
2OKU_A.pdb,118,0.05,0.79,0.86
1ZO2_A.pdb,124,0.65,0.82,0.89
5CZ1_A.pdb,162,0.42,0.8,0.83
5ZKM_A.pdb,67,1.2,0.88,0.82
2WHN_A.pdb,110,0.16,0.8,0.87
8UM6_A.pdb,129,0.8,0.83,0.89
3GW2_A.pdb,92,-1.14,0.73,0.8
5IZE_A.pdb,180,0.15,0.79,0.81
4CXF_B.pdb,29,-0.18,0.74,0.76
1J83_A.pdb,178,1.36,0.84,0.9
4DJG_A.pdb,49,0.23,0.81,0.86
3BRC_A.pdb,148,0.43,0.8,0.82
3HYN_A.pdb,180,0.54,0.8,0.9
3OMD_A.pdb,141,0.44,0.8,0.89
7O91_A.pdb,146,0.97,0.83,0.85
2A1V_A.pdb,138,0.12,0.79,0.88
2R47_A.pdb,154,-0.47,0.76,0.91
7Q06_A.pdb,154,-0.78,0.74,0.92
4FLA_A.pdb,126,2.07,0.89,0.84
1LGH_A.pdb,56,-1.17,0.69,0.64
2W2N_E.pdb,49,-0.33,0.75,0.7
7XFS_A.pdb,96,1.38,0.87,0.89
6LNL_A.pdb,151,0.91,0.83,0.93
5WDD_B.pdb,159,0.3,0.79,0.85
7UHE_A.pdb,71,0.68,0.84,0.84
1JFU_A.pdb,176,0.68,0.81,0.91
3BQP_A.pdb,80,-0.2,0.78,0.8
1U84_A.pdb,81,0.53,0.83,0.82
1Y03_A.pdb,35,-0.83,0.66,0.73
4Z4A_A.pdb,74,0.14,0.81,0.9
3MY2_A.pdb,124,-0.05,0.78,0.83
3TJ8_A.pdb,149,-0.16,0.77,0.87
3FEU_A.pdb,175,-0.2,0.77,0.75
3VTX_A.pdb,181,0.5,0.8,0.9
7MO0_B.pdb,123,-0.11,0.78,0.83
2NR5_C.pdb,60,0.41,0.82,0.88
2DPF_A.pdb,111,2.1,0.9,0.86
5M1M_A.pdb,154,-0.07,0.78,0.95
3RAZ_A.pdb,131,0.09,0.79,0.84
4U5H_A.pdb,85,-1.31,0.71,0.94
3QTH_A.pdb,167,-1.12,0.73,0.85
2GU3_A.pdb,128,1.75,0.88,0.82
2Q73_A.pdb,90,0.08,0.8,0.89
6FJ7_A.pdb,80,0.75,0.85,0.82
8X2Q_A.pdb,109,2.61,0.93,0.83
8AIL_C.pdb,51,-0.14,0.78,0.76
3TZU_A.pdb,127,1.05,0.84,0.94
8OYS_A.pdb,190,4.68,0.97,0.92
2VBU_A.pdb,131,1.65,0.87,0.83
7KPO_A.pdb,104,0.35,0.81,0.9
7UR7_A.pdb,63,1.09,0.87,0.93
5EJD_A.pdb,75,-0.3,0.78,0.85
6D8Q_A.pdb,31,0.42,0.81,0.77
2V75_A.pdb,90,0.91,0.85,0.83
1H8E_H.pdb,89,-0.89,0.74,0.81
3TL4_X.pdb,183,1.46,0.84,0.86
4RUD_A.pdb,58,-0.13,0.78,0.92
3ZFP_A.pdb,148,1.27,0.84,0.89
2GWF_A.pdb,136,-0.25,0.77,0.87
3HCZ_A.pdb,146,-0.79,0.74,0.92
2BCM_A.pdb,138,0.1,0.79,0.85
3KLW_A.pdb,95,0.06,0.8,0.85
6HHE_A.pdb,116,0.14,0.79,0.92
3TFG_A.pdb,183,-0.18,0.77,0.91
6JL9_A.pdb,189,-0.91,0.74,0.77
5VX1_A.pdb,163,-0.3,0.77,0.77
3BMZ_A.pdb,185,0.64,0.81,0.89
3HUP_A.pdb,121,-0.24,0.77,0.84
4CGB_A.pdb,44,0.99,0.9,0.87
7MMM_A.pdb,25,-0.89,0.66,0.36
5D8V_A.pdb,83,-0.23,0.78,0.8
5I97_A.pdb,143,-0.7,0.75,0.89
4BJ0_A.pdb,167,1.58,0.85,0.87
7STA_A.pdb,64,0.69,0.84,0.87
1P5V_B.pdb,136,0.44,0.8,0.81
4A5K_A.pdb,115,-1.02,0.73,0.87
1VPM_A.pdb,152,0.04,0.78,0.89
7UXR_A.pdb,139,-0.36,0.76,0.78
4L3R_A.pdb,141,-1.04,0.73,0.87
1F2U_A.pdb,149,-2.17,0.67,0.76
3D79_A.pdb,167,0.92,0.82,0.89
3KWO_A.pdb,144,-0.93,0.73,0.88
7Z1K_A.pdb,165,0.92,0.82,0.84
3K6T_A.pdb,54,0.26,0.81,0.8
3UV0_A.pdb,97,-0.42,0.77,0.92
8FDS_A.pdb,178,1.49,0.85,0.87
4M85_A.pdb,185,-0.77,0.75,0.89
7Z3B_A.pdb,139,1.1,0.84,0.93
4GV5_A.pdb,42,0.93,0.88,0.88
1G5C_A.pdb,168,0.82,0.82,0.87
1WLZ_A.pdb,85,0.04,0.8,0.83
1GP0_A.pdb,133,1.27,0.85,0.84
2FE3_A.pdb,141,1.23,0.84,0.84
1MBA_A.pdb,146,0.36,0.8,0.88
7XED_C.pdb,77,-0.07,0.79,0.8
3NBM_A.pdb,101,0.79,0.83,0.89
1E6C_A.pdb,170,1.2,0.83,0.86
7Z8O_A.pdb,195,-0.2,0.77,0.81
3KHF_B.pdb,97,0.14,0.8,0.77
6A56_A.pdb,162,0.3,0.79,0.96
1S7I_A.pdb,124,0.81,0.83,0.81
4U9N_A.pdb,177,-1.94,0.7,0.76
2ARC_A.pdb,161,0.56,0.81,0.9
6EWL_A.pdb,136,-0.57,0.75,0.81
3S3T_A.pdb,144,0.68,0.82,0.9
