model_name,protein_size,qmean4_zscore,qmean4_norm,qmeandisco
7Y16_A.pdb,156,-0.22,0.77,0.87
3PNA_A.pdb,129,0.77,0.82,0.84
3QOR_A.pdb,119,0.11,0.79,0.85
2IYB_E.pdb,64,-2.2,0.63,0.88
3ESM_A.pdb,137,2.34,0.91,0.87
3EN8_A.pdb,125,0.22,0.8,0.9
1OGD_A.pdb,131,0.08,0.79,0.9
6F5X_A.pdb,76,1.75,0.91,0.83
1I8A_A.pdb,189,0.52,0.8,0.9
6R96_A.pdb,22,-1.15,0.63,0.4
5XP0_A.pdb,132,0.17,0.79,0.89
3L4R_A.pdb,151,-0.55,0.75,0.89
1WN0_A.pdb,131,-0.02,0.78,0.84
1QKY_A.pdb,38,-1.6,0.57,0.56
4KTW_A.pdb,160,0.53,0.8,0.79
4HN7_A.pdb,85,-0.77,0.75,0.85
6BZ9_B.pdb,88,-2.23,0.66,0.84
3O2R_A.pdb,144,-0.34,0.76,0.88
5XCQ_B.pdb,160,0.86,0.82,0.81
6ETL_A.pdb,124,-0.57,0.75,0.86
1ID1_A.pdb,153,0.69,0.81,0.9
1PF5_A.pdb,130,-0.09,0.78,0.92
1G2R_A.pdb,94,0.95,0.85,0.84
2NQW_A.pdb,86,1.22,0.87,0.87
5N0L_A.pdb,156,-0.38,0.76,0.9
8AF9_A.pdb,117,-0.02,0.79,0.96
3I00_A.pdb,76,0.9,0.86,0.83
7MQ3_A.pdb,83,1.31,0.88,0.8
7QRJ_A.pdb,181,0.94,0.82,0.88
1VH5_A.pdb,138,-0.28,0.77,0.9
5NVM_A.pdb,176,-0.96,0.74,0.85
4UOS_A.pdb,188,5.28,1.0,0.87
4N7C_A.pdb,174,-0.46,0.76,0.9
2Y8F_A.pdb,127,-0.23,0.77,0.83
5MAO_A.pdb,71,0.44,0.82,0.83
5CN2_A.pdb,115,-0.86,0.74,0.87
1ITV_A.pdb,195,0.15,0.79,0.91
4L8P_A.pdb,162,0.33,0.8,0.8
7W86_A.pdb,117,-0.71,0.75,0.94
1BUN_B.pdb,61,-1.0,0.72,0.92
3GNJ_A.pdb,107,-0.87,0.74,0.73
7ODY_C.pdb,100,-0.77,0.75,0.82
1I27_A.pdb,73,1.24,0.88,0.79
4P1N_D.pdb,53,-1.1,0.69,0.6
3U5S_A.pdb,118,0.01,0.79,0.81
3CEB_A.pdb,189,0.63,0.81,0.85
3QHB_A.pdb,179,-0.15,0.77,0.88
5J9I_A.pdb,67,0.49,0.83,0.81
4D0Q_A.pdb,161,0.43,0.8,0.91
7QZO_A.pdb,129,-0.03,0.78,0.87
3SI5_A.pdb,152,0.76,0.82,0.83
5T7A_A.pdb,93,0.22,0.81,0.91
4D6Y_A.pdb,121,1.2,0.85,0.88
3G1J_A.pdb,87,-0.24,0.78,0.88
3H8U_A.pdb,120,1.49,0.86,0.9
5G25_A.pdb,82,0.54,0.83,0.91
