model_name,protein_size,qmean4_zscore,qmean4_norm,qmeandisco
7JGW_A.pdb,145,0.23,0.79,0.79
3M8J_A.pdb,90,-0.37,0.77,0.82
1Y9B_A.pdb,79,-0.2,0.78,0.73
2Q30_A.pdb,103,0.77,0.83,0.93
2Q5C_A.pdb,187,1.61,0.85,0.88
5G4Z_A.pdb,147,-0.07,0.78,0.86
5UKV_A.pdb,70,-0.92,0.74,0.74
2RJI_A.pdb,84,0.87,0.85,0.91
3EY6_A.pdb,118,0.41,0.81,0.85
4H08_A.pdb,199,1.46,0.84,0.94
7PEG_A.pdb,109,0.74,0.83,0.85
6QYY_A.pdb,119,0.15,0.79,0.86
4QBO_A.pdb,92,2.49,0.94,0.86
5WE3_A.pdb,34,-0.7,0.68,0.63
6IF4_A.pdb,60,-1.57,0.68,0.88
3JTW_A.pdb,173,-0.05,0.78,0.88
1F08_A.pdb,148,-1.71,0.7,0.8
4G0M_A.pdb,135,0.58,0.81,0.94
4OCI_A.pdb,135,-0.01,0.78,0.83
3QX1_A.pdb,81,-0.52,0.76,0.81
1X6Z_A.pdb,120,0.86,0.83,0.87
3CI9_A.pdb,44,0.26,0.81,0.83
6O8L_A.pdb,92,0.08,0.8,0.82
4BOE_A.pdb,154,-0.54,0.75,0.9
3RQ9_A.pdb,78,0.46,0.82,0.77
6IZW_C.pdb,122,-1.09,0.73,0.83
5CWT_A.pdb,41,2.0,1.0,0.76
5LDQ_A.pdb,175,1.04,0.83,0.91
2O4A_A.pdb,84,0.64,0.83,0.8
3CEX_A.pdb,165,-0.51,0.76,0.88
3BF4_A.pdb,109,-1.28,0.72,0.69
4PC0_C.pdb,20,-0.08,0.75,0.66
3CVE_A.pdb,66,1.44,0.9,0.89
2CCM_A.pdb,190,0.71,0.81,0.9
1Z6M_A.pdb,170,0.2,0.79,0.87
3AJF_A.pdb,89,-0.67,0.75,0.81
6YIP_A.pdb,71,3.19,1.0,0.75
4L5E_A.pdb,46,0.84,0.88,0.88
3O0G_D.pdb,149,-1.07,0.73,0.93
2QJL_A.pdb,99,0.0,0.79,0.86
1YLX_A.pdb,94,1.24,0.86,0.83
2V33_A.pdb,91,-0.49,0.76,0.75
1F7D_A.pdb,118,-0.07,0.78,0.87
3V0R_A.pdb,130,0.03,0.78,0.9
8ORV_A.pdb,193,-0.39,0.76,0.89
5CJ1_A.pdb,98,1.01,0.85,0.79
4RS2_A.pdb,180,0.37,0.8,0.9
1B9O_A.pdb,123,-0.67,0.75,0.81
4HGU_A.pdb,40,0.73,0.85,0.81
5L8X_B.pdb,172,0.98,0.82,0.9
8BFH_A.pdb,165,-0.82,0.74,0.83
3KB5_A.pdb,193,-0.57,0.76,0.8
5TKM_A.pdb,184,0.71,0.81,0.96
5OVV_A.pdb,99,1.26,0.86,0.84
1CNN_A.pdb,26,-1.25,0.61,0.6
6JV7_A.pdb,74,-0.4,0.77,0.71
3KZ7_A.pdb,119,1.04,0.84,0.85
3SWK_A.pdb,86,2.78,0.96,0.85
6SWL_A.pdb,132,0.43,0.81,0.84
3BY6_A.pdb,119,1.11,0.85,0.85
7FBY_A.pdb,153,-0.4,0.76,0.87
3UEP_A.pdb,85,0.17,0.81,0.74
4CHE_A.pdb,161,0.4,0.8,0.9
7Y5J_A.pdb,95,-0.01,0.79,0.88
6T02_B.pdb,164,0.12,0.79,0.87
2Q24_A.pdb,170,1.73,0.86,0.8
8ANT_A.pdb,79,-0.15,0.78,0.73
5HDW_A.pdb,131,1.21,0.85,0.92
1LTS_C.pdb,41,-0.17,0.75,0.68
4TT9_A.pdb,70,-0.4,0.77,0.69
1EYV_A.pdb,131,0.64,0.82,0.91
7MW7_A.pdb,118,-0.69,0.75,0.91
7XP9_A.pdb,76,0.85,0.85,0.81
3P9A_A.pdb,139,-0.76,0.74,0.82
6XAZ_B.pdb,125,-0.94,0.73,0.91
5CES_A.pdb,91,0.52,0.82,0.82
1Q5Y_A.pdb,84,-0.18,0.78,0.83
7NBI_A.pdb,131,-0.33,0.77,0.86
6AR4_A.pdb,86,1.28,0.87,0.88
3LLY_B.pdb,16,-2.5,0.47,0.59
4LMI_A.pdb,134,0.96,0.83,0.86
4EGU_A.pdb,118,1.01,0.84,0.91
5UMR_A.pdb,97,0.32,0.81,0.81
4HQU_A.pdb,95,-0.99,0.74,0.83
4S0U_C.pdb,175,-1.45,0.72,0.93
4JGL_A.pdb,145,0.39,0.8,0.91
2FLD_A.pdb,161,-1.01,0.73,0.88
6WIS_A.pdb,119,0.71,0.82,0.88
1IKO_P.pdb,141,0.58,0.81,0.87
2MLJ_A.pdb,18,-0.18,0.74,0.27
6AVD_A.pdb,40,-0.33,0.72,0.63
3M7K_A.pdb,142,-1.37,0.71,0.94
6NE2_A.pdb,119,0.03,0.79,0.89
2R2A_A.pdb,182,-0.07,0.78,0.83
6WK9_A.pdb,104,-2.29,0.67,0.65
7NZ9_A.pdb,161,1.11,0.83,0.91
2ETH_A.pdb,135,-0.62,0.75,0.77
8B2E_A.pdb,141,-0.62,0.75,0.93
1I4U_A.pdb,181,0.46,0.8,0.9
3RX6_A.pdb,187,0.58,0.81,0.87
1DUS_A.pdb,192,-0.23,0.77,0.86
1P0Z_A.pdb,131,0.72,0.82,0.86
6J6L_A.pdb,190,0.44,0.8,0.7
2X5H_A.pdb,92,1.53,0.88,0.77
1T9F_A.pdb,178,-1.03,0.74,0.92
4QRL_A.pdb,110,1.49,0.87,0.87
8H39_A.pdb,92,0.51,0.82,0.9
3BY8_A.pdb,133,0.73,0.82,0.82
4RN7_A.pdb,185,0.71,0.81,0.92
5HFS_A.pdb,65,-0.44,0.77,0.83
3RX9_A.pdb,130,0.76,0.82,0.83
1QZG_A.pdb,170,-0.47,0.76,0.92
1NEZ_G.pdb,122,-0.23,0.77,0.81
3KM5_A.pdb,179,0.76,0.81,0.91
3TEU_A.pdb,98,2.63,0.94,0.89
3UC2_A.pdb,123,0.38,0.8,0.87
