model_name,protein_size,qmean4_zscore,qmean4_norm,qmeandisco
5IG6_A.pdb,115,0.3,0.8,0.86
6DNQ_E.pdb,54,0.71,0.85,0.75
5HNO_B.pdb,168,-0.55,0.76,0.89
1LNG_A.pdb,87,0.95,0.85,0.9
3DPJ_A.pdb,187,-3.3,0.65,0.76
7DPY_A.pdb,90,-0.68,0.75,0.88
4WVR_A.pdb,98,0.78,0.84,0.89
2X32_A.pdb,174,0.34,0.8,0.85
3ZZP_A.pdb,74,1.32,0.88,0.76
7DS2_C.pdb,23,-0.48,0.71,0.62
5GVO_A.pdb,18,-6.44,0.0012,0.36
3P9V_A.pdb,156,0.76,0.82,0.9
1NWZ_A.pdb,125,0.14,0.79,0.87
2ES9_A.pdb,97,1.19,0.86,0.84
5JOE_A.pdb,92,0.34,0.81,0.86
4O7J_A.pdb,157,0.17,0.79,0.88
2J3T_C.pdb,142,-1.23,0.72,0.91
7Y5R_A.pdb,105,0.75,0.83,0.93
1HTW_A.pdb,158,-0.68,0.75,0.8
6HNM_A.pdb,128,0.55,0.81,0.86
1U5D_A.pdb,108,0.34,0.81,0.91
1HPI_A.pdb,71,-0.53,0.76,0.94
2VZP_A.pdb,126,1.46,0.86,0.91
5O63_A.pdb,159,0.26,0.79,0.94
1UOY_A.pdb,64,0.9,0.86,0.88
3RWN_A.pdb,155,-0.41,0.76,0.77
2H5N_A.pdb,132,-0.22,0.77,0.88
