model_name,protein_size,qmean4_zscore,qmean4_norm,qmeandisco
1FHG_A.pdb,102,0.27,0.81,0.85
1ZHS_A.pdb,113,1.59,0.87,0.84
2VLG_C.pdb,102,-1.05,0.74,0.86
1PUC_A.pdb,101,-0.74,0.75,0.71
7CLY_A.pdb,179,-0.06,0.78,0.91
1XPP_A.pdb,99,1.05,0.85,0.82
5T1I_A.pdb,68,-0.04,0.79,0.84
2YFU_A.pdb,140,0.84,0.82,0.92
5HI8_A.pdb,136,-0.14,0.77,0.85
1TR0_A.pdb,106,-0.12,0.78,0.85
2EFV_A.pdb,82,-0.88,0.74,0.93
6LYX_A.pdb,117,1.33,0.86,0.91
2ZNR_A.pdb,178,0.53,0.8,0.86
6IFH_A.pdb,119,-0.05,0.78,0.92
3JTE_A.pdb,126,0.94,0.83,0.9
6ZJ8_A.pdb,141,0.23,0.79,0.85
5W54_A.pdb,25,-2.18,0.5,0.43
2GRR_B.pdb,157,0.15,0.79,0.84
2I45_C.pdb,95,-0.68,0.76,0.85
5F67_A.pdb,98,1.05,0.85,0.91
6VGW_A.pdb,140,-0.53,0.75,0.9
5MWZ_A.pdb,114,0.11,0.79,0.84
4ADZ_A.pdb,90,0.67,0.83,0.81
2BW3_B.pdb,82,-0.93,0.73,0.71
3JUM_A.pdb,157,0.95,0.83,0.9
5J5L_A.pdb,152,-0.75,0.74,0.92
8R2C_A.pdb,169,-0.25,0.77,0.91
3ZNU_A.pdb,94,2.26,0.92,0.82
3P2A_A.pdb,139,-0.16,0.77,0.86
4JO7_C.pdb,82,-0.52,0.76,0.67
3NCT_A.pdb,133,0.3,0.8,0.9
7PZ2_A.pdb,97,-0.74,0.75,0.91
7BZE_A.pdb,108,-0.45,0.76,0.86
3U7Z_A.pdb,97,0.54,0.82,0.89
1WKQ_A.pdb,158,0.13,0.79,0.88
6YLD_A.pdb,150,0.19,0.79,0.93
1L1S_A.pdb,108,-0.57,0.76,0.85
2FIP_A.pdb,115,-1.28,0.72,0.92
1L3I_A.pdb,178,-0.06,0.78,0.76
8S9W_A.pdb,98,-1.55,0.71,0.87
1VHZ_A.pdb,186,-0.33,0.77,0.9
5TG0_A.pdb,137,0.05,0.78,0.88
5CRB_A.pdb,192,0.76,0.81,0.89
4P1Z_A.pdb,127,-0.2,0.77,0.89
5W7W_A.pdb,104,1.15,0.85,0.85
3HNX_A.pdb,108,0.42,0.81,0.83
6LJE_A.pdb,101,0.11,0.8,0.83
4PUH_A.pdb,81,0.33,0.82,0.86
2OQT_B.pdb,146,-1.28,0.72,0.8
5JMB_A.pdb,89,1.26,0.87,0.89
6KML_A.pdb,103,-0.35,0.77,0.87
2GWM_A.pdb,200,0.9,0.82,0.89
3HGM_A.pdb,147,0.81,0.82,0.9
5IBW_C.pdb,43,0.26,0.8,0.84
4NBX_A.pdb,143,2.23,0.89,0.88
3X38_A.pdb,78,-0.08,0.79,0.9
2GUD_A.pdb,121,2.29,0.91,0.88
2I24_N.pdb,113,0.52,0.81,0.86
4GYO_B.pdb,359,0.72,0.8,0.93
6PNY_A.pdb,116,0.83,0.83,0.86
1IXL_A.pdb,127,-0.6,0.75,0.88
4J29_A.pdb,126,2.07,0.89,0.84
3B79_A.pdb,122,0.15,0.79,0.85
4EQP_A.pdb,129,2.17,0.9,0.78
1Z2A_A.pdb,164,0.04,0.78,0.89
7NBV_A.pdb,131,0.91,0.83,0.92
4XEK_A.pdb,137,0.53,0.81,0.88
1GEF_A.pdb,120,-0.25,0.77,0.84
6HSD_A.pdb,166,0.79,0.82,0.86
1MBM_A.pdb,198,1.23,0.83,0.92
4J9E_A.pdb,56,0.97,0.88,0.83
1TXM_A.pdb,34,-1.37,0.6,0.63
5Z59_A.pdb,146,0.14,0.79,0.88
2RK0_A.pdb,133,0.15,0.79,0.81
1LGP_A.pdb,113,-0.47,0.76,0.74
7ESW_A.pdb,129,-0.31,0.77,0.9
2D4R_A.pdb,144,0.14,0.79,0.87
2JA4_A.pdb,101,-0.06,0.79,0.88
